Wavelength(nm),Transmission(%)
1431.0,0.934796
1432.0,0.934797
1433.0,0.934798
1434.0,0.934799
1435.0,0.9348
1436.0,0.934801
1437.0,0.934802
1438.0,0.934803
1439.0,0.934804
1440.0,0.934805
1441.0,0.934806
1442.0,0.934806
1443.0,0.934807
1444.0,0.934808
1445.0,0.934809
1446.0,0.93481
1447.0,0.934811
1448.0,0.934812
1449.0,0.934813
1450.0,0.934814
1451.0,0.934815
1452.0,0.934816
1453.0,0.934817
1454.0,0.934818
1455.0,0.934819
1456.0,0.93482
1457.0,0.934821
1458.0,0.934822
1459.0,0.934823
1460.0,0.934824
1461.0,0.934824
1462.0,0.934825
1463.0,0.934826
1464.0,0.934827
1465.0,0.934828
1466.0,0.934829
1467.0,0.93483
1468.0,0.934831
1469.0,0.934832
1470.0,0.934833
1471.0,0.934834
1472.0,0.934835
1473.0,0.934835
1474.0,0.934836
1475.0,0.934837
1476.0,0.934838
1477.0,0.934839
1478.0,0.93484
1479.0,0.934841
1480.0,0.934842
1481.0,0.934843
1482.0,0.934843
1483.0,0.934844
1484.0,0.934845
1485.0,0.934846
1486.0,0.934847
1487.0,0.934848
1488.0,0.934849
1489.0,0.93485
1490.0,0.934851
1491.0,0.934851
1492.0,0.934852
1493.0,0.934853
1494.0,0.934854
1495.0,0.934855
1496.0,0.934856
1497.0,0.934857
1498.0,0.934857
1499.0,0.934858
1500.0,0.934859
1501.0,0.93486
1502.0,0.934861
1503.0,0.934862
1504.0,0.934863
1505.0,0.934863
1506.0,0.934864
1507.0,0.934865
1508.0,0.934866
1509.0,0.934867
1510.0,0.934868
1511.0,0.934868
1512.0,0.934869
1513.0,0.93487
1514.0,0.934871
1515.0,0.934872
1516.0,0.934873
1517.0,0.934873
1518.0,0.934874
1519.0,0.934875
1520.0,0.934876
1521.0,0.934877
1522.0,0.934878
1523.0,0.934878
1524.0,0.934879
1525.0,0.93488
1526.0,0.934881
1527.0,0.934882
1528.0,0.934883
1529.0,0.934883
1530.0,0.934884
1531.0,0.934885
1532.0,0.934886
1533.0,0.934887
1534.0,0.934887
1535.0,0.934888
1536.0,0.934889
1537.0,0.93489
1538.0,0.934891
1539.0,0.934891
1540.0,0.934892
1541.0,0.934893
1542.0,0.934894
1543.0,0.934894
1544.0,0.934895
1545.0,0.934896
1546.0,0.934897
1547.0,0.934898
1548.0,0.934898
1549.0,0.934899
1550.0,0.9349
1551.0,0.934901
1552.0,0.934902
1553.0,0.934902
1554.0,0.934903
1555.0,0.934904
1556.0,0.934905
1557.0,0.934905
1558.0,0.934906
1559.0,0.934907
1560.0,0.934908
1561.0,0.934908
1562.0,0.934909
1563.0,0.93491
1564.0,0.934911
1565.0,0.934911
1566.0,0.934912
1567.0,0.934913
1568.0,0.934914
1569.0,0.934914
1570.0,0.934915
1571.0,0.934916
1572.0,0.934917
1573.0,0.934917
